Rk,Team,Overall,Conference
1,Milwaukee Bucks,60-22,E
2,Toronto Raptors,58-24,E
1,Golden State Warriors,57-25,W
2,Denver Nuggets,54-28,W
3,Houston Rockets,53-29,W
4,Portland Trail Blazers,53-29,W
3,Philadelphia 76ers,51-31,E
5,Utah Jazz,50-32,W
4,Boston Celtics,49-33,E
6,Oklahoma City Thunder,49-33,W
5,Indiana Pacers,48-34,E
8,Los Angeles Clippers,48-34,W
7,San Antonio Spurs,48-34,W
6,Brooklyn Nets,42-40,E
7,Orlando Magic,42-40,E
8,Detroit Pistons,41-41,E
9,Charlotte Hornets,39-43,E
10,Miami Heat,39-43,E
9,Sacramento Kings,39-43,W
10,Los Angeles Lakers,37-45,W
11,Minnesota Timberwolves,36-46,W
12,Dallas Mavericks,33-49,W
13,Memphis Grizzlies,33-49,W
14,New Orleans Pelicans,33-49,W
11,Washington Wizards,32-50,E
12,Atlanta Hawks,29-53,E
13,Chicago Bulls,22-60,E
14,Cleveland Cavaliers,19-63,E
15,Phoenix Suns,19-63,W
15,New York Knicks,17-65,E